Modell	LearningType	LearningRate	Total_Paramter	Trainable_Parameter	Non_Trainable_Parameter	Results	Accuracy_Loss
Bert_Uncased	AllNetworkTrain	1e-5	109 483 778	109 483 778	0	1e-05 [25, [0.07685478776693344, 1.0], [0.3480728566646576, 0.9333333373069763], [0.7204608917236328, 0.699999988079071]]	6/6 [==============================] - 61s 10s/step - loss: 0.0278 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4354 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	1e-5	109 483 778	109 483 778	0	1e-05 [26, [0.030325084924697876, 1.0], [0.3281105160713196, 0.9333333373069763], [0.8117291927337646, 0.6899999976158142]]	6/6 [==============================] - 60s 10s/step - loss: 0.0113 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4265 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-5	109 483 778	109 483 778	0	2e-05 [16, [0.22834575176239014, 0.9764705896377563], [0.34525802731513977, 0.9333333373069763], [0.6682506799697876, 0.6399999856948853]]	6/6 [==============================] - 61s 10s/step - loss: 0.0139 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.6457 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-5	109 483 778	109 483 778	0	2e-05 [21, [0.04177003726363182, 1.0], [0.3079220652580261, 0.9333333373069763], [0.9743317365646362, 0.6299999952316284]]	6/6 [==============================] - 60s 10s/step - loss: 0.0130 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4371 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-5	109 483 778	109 483 778	0	2e-05 [23, [0.009524461813271046, 1.0], [0.35424768924713135, 0.9333333373069763], [1.2272428274154663, 0.6800000071525574]]	6/6 [==============================] - 60s 10s/step - loss: 0.0034 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4553 - val_sparse_categorical_accuracy: 0.9333
Bert_Uncased	AllNetworkTrain	2e-5	109 483 778	109 483 778	0	2e-05 [18, [0.15897464752197266, 0.9882352948188782], [0.4697345793247223, 0.800000011920929], [0.8317203521728516, 0.6800000071525574]]	6/6 [==============================] - 61s 10s/step - loss: 0.0145 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.6229 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-5	109 483 778	109 483 778	0	2e-05 [18, [0.09725356101989746, 1.0], [0.3329813778400421, 0.9333333373069763], [0.808972954750061, 0.6499999761581421]]	6/6 [==============================] - 61s 10s/step - loss: 0.0061 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.7016 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	5e-5	109 483 778	109 483 778	0	5e-05 [27, [0.05425750091671944, 0.9882352948188782], [0.3483119308948517, 0.8666666746139526], [0.8993802070617676, 0.6800000071525574]]	6/6 [==============================] - 60s 10s/step - loss: 0.0037 - sparse_categorical_accuracy: 1.0000 - val_loss: 1.1290 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	5e-5	109 483 778	109 483 778	0	5e-05 [16, [0.32599717378616333, 0.929411768913269], [0.4763677716255188, 0.800000011920929], [0.6913822889328003, 0.6499999761581421]]	6/6 [==============================] - 60s 10s/step - loss: 0.0039 - sparse_categorical_accuracy: 1.0000 - val_loss: 1.2542 - val_sparse_categorical_accuracy: 0.7333
Bert_Uncased	AllNetworkTrain	5e-5	109 483 778	109 483 778	0	5e-05 [16, [0.44287168979644775, 0.8235294222831726], [0.5337814688682556, 0.800000011920929], [0.7488328814506531, 0.6700000166893005]]	6/6 [==============================] - 60s 10s/step - loss: 0.0604 - sparse_categorical_accuracy: 0.9882 - val_loss: 1.0889 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	5e-5	109 483 778	109 483 778	0	5e-05 [18, [0.06168754771351814, 1.0], [0.3125375211238861, 0.9333333373069763], [0.8583861589431763, 0.6700000166893005]]	6/6 [==============================] - 59s 10s/step - loss: 0.0054 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.7519 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	5e-5	109 483 778	109 483 778	0	5e-05 [18, [0.018332205712795258, 1.0], [0.3036509156227112, 0.9333333373069763], [1.2784281969070435, 0.6200000047683716]]	6/6 [==============================] - 61s 10s/step - loss: 0.0180 - sparse_categorical_accuracy: 0.9882 - val_loss: 1.0074 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	1e-6	109 483 778	109 483 778	0	1e-06 [88, [0.13715149462223053, 1.0], [0.3792329728603363, 0.8666666746139526], [0.6853798627853394, 0.6600000262260437]]	6/6 [==============================] - 60s 10s/step - loss: 0.1319 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4013 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	1e-6	109 483 778	109 483 778	0	1e-06 [139, [0.10495254397392273, 0.9882352948188782], [0.33339378237724304, 0.9333333373069763], [0.8220292925834656, 0.6600000262260437]]	6/6 [==============================] - 61s 10s/step - loss: 0.1082 - sparse_categorical_accuracy: 0.9882 - val_loss: 0.3357 - val_sparse_categorical_accuracy: 0.9333
Bert_Uncased	AllNetworkTrain	1e-6	109 483 778	109 483 778	0	1e-06 [80, [0.24216358363628387, 1.0], [0.43803882598876953, 0.800000011920929], [0.7191925644874573, 0.6600000262260437]]	6/6 [==============================] - 60s 10s/step - loss: 0.2505 - sparse_categorical_accuracy: 0.9882 - val_loss: 0.4531 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	1e-6	109 483 778	109 483 778	0	1e-06 [126, [0.1153496578335762, 0.9764705896377563], [0.4028790295124054, 0.800000011920929], [0.7846891283988953, 0.6800000071525574]]	6/6 [==============================] - 60s 10s/step - loss: 0.1179 - sparse_categorical_accuracy: 0.9765 - val_loss: 0.4266 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	1e-6	109 483 778	109 483 778	0	1e-06 [72, [0.21080473065376282, 0.9882352948188782], [0.4149557650089264, 0.800000011920929], [0.7231748700141907, 0.6399999856948853]]	6/6 [==============================] - 61s 10s/step - loss: 0.2155 - sparse_categorical_accuracy: 0.9765 - val_loss: 0.4267 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	2e-6	109 483 778	109 483 778	0	2e-06 [97, [0.04666449502110481, 1.0], [0.3190551698207855, 0.9333333373069763], [0.9286099076271057, 0.6600000262260437]]	6/6 [==============================] - 60s 10s/step - loss: 0.0470 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.3287 - val_sparse_categorical_accuracy: 0.9333
Bert_Uncased	AllNetworkTrain	2e-6	109 483 778	109 483 778	0	2e-06 [97, [0.04046683758497238, 1.0], [0.38659295439720154, 0.8666666746139526], [0.8579649925231934, 0.6800000071525574]]	6/6 [==============================] - 60s 10s/step - loss: 0.0398 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.3882 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-6	109 483 778	109 483 778	0	2e-06 [59, [0.11908663809299469, 1.0], [0.35245296359062195, 0.9333333373069763], [0.7368711829185486, 0.6800000071525574]]	6/6 [==============================] - 60s 10s/step - loss: 0.0965 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.3923 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-6	109 483 778	109 483 778	0	2e-06 [106, [0.06974273175001144, 1.0], [0.360821396112442, 0.9333333373069763], [0.7305521368980408, 0.6800000071525574]]	6/6 [==============================] - 59s 10s/step - loss: 0.0623 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.3693 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	2e-6	109 483 778	109 483 778	0	2e-06 [55, [0.13323214650154114, 1.0], [0.4031858444213867, 0.8666666746139526], [0.7399613857269287, 0.6299999952316284]]	6/6 [==============================] - 59s 10s/step - loss: 0.1228 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4057 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	5e-6	109 483 778	109 483 778	0	5e-06 [34, [0.09139303117990494, 1.0], [0.4196856915950775, 0.800000011920929], [0.7419593930244446, 0.699999988079071]]	6/6 [==============================] - 60s 10s/step - loss: 0.0580 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4405 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	5e-6	109 483 778	109 483 778	0	5e-06 [25, [0.21718451380729675, 1.0], [0.3991727828979492, 0.8666666746139526], [0.679732084274292, 0.6200000047683716]]	6/6 [==============================] - 59s 10s/step - loss: 0.1066 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4344 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	5e-6	109 483 778	109 483 778	0	5e-06 [33, [0.10020306706428528, 1.0], [0.38043874502182007, 0.800000011920929], [0.7873111963272095, 0.6600000262260437]]	6/6 [==============================] - 59s 10s/step - loss: 0.0710 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4803 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	AllNetworkTrain	5e-6	109 483 778	109 483 778	0	5e-06 [36, [0.10070111602544785, 1.0], [0.47081196308135986, 0.8666666746139526], [0.8358393907546997, 0.6800000071525574]]	6/6 [==============================] - 61s 10s/step - loss: 0.0688 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4842 - val_sparse_categorical_accuracy: 0.8667
Bert_Uncased	AllNetworkTrain	5e-6	109 483 778	109 483 778	0	5e-06 [25, [0.23146913945674896, 0.9647058844566345], [0.4016585648059845, 0.8666666746139526], [0.687821626663208, 0.6600000262260437]]	6/6 [==============================] - 60s 10s/step - loss: 0.1045 - sparse_categorical_accuracy: 1.0000 - val_loss: 0.4393 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	OnlyClassifier	1e-4	109 483 778	1 538	109 482 240	0.0001 [11, [0.6581617593765259, 0.6117647290229797], [0.6841015219688416, 0.6000000238418579], [0.6674167513847351, 0.6100000143051147]]	6/6 [==============================] - 30s 5s/step - loss: 0.6490 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6897 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-4	109 483 778	1 538	109 482 240	0.0001 [14, [0.6425721049308777, 0.6235294342041016], [0.7049686908721924, 0.6000000238418579], [0.6646384596824646, 0.6299999952316284]]	6/6 [==============================] - 30s 5s/step - loss: 0.6512 - sparse_categorical_accuracy: 0.6353 - val_loss: 0.7091 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-4	109 483 778	1 538	109 482 240	0.0001 [11, [0.6654389500617981, 0.6117647290229797], [0.6321954131126404, 0.6000000238418579], [0.6826955676078796, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6791 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6451 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-4	109 483 778	1 538	109 482 240	0.0001 [11, [0.6627864241600037, 0.6117647290229797], [0.6552903056144714, 0.6000000238418579], [0.6687169075012207, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6658 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6631 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-4	109 483 778	1 538	109 482 240	0.0001 [12, [0.6550585627555847, 0.6117647290229797], [0.6953933835029602, 0.6000000238418579], [0.6661490797996521, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6668 - sparse_categorical_accuracy: 0.6353 - val_loss: 0.7062 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-4	109 483 778	1 538	109 482 240	0.0002 [12, [0.667578399181366, 0.6117647290229797], [0.6426601409912109, 0.6666666865348816], [0.6780566573143005, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6613 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6542 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-4	109 483 778	1 538	109 482 240	0.0002 [11, [0.6595895290374756, 0.6117647290229797], [0.6753857731819153, 0.6000000238418579], [0.6701798439025879, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6415 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.7003 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-4	109 483 778	1 538	109 482 240	0.0002 [11, [0.6519495844841003, 0.6117647290229797], [0.667553722858429, 0.6000000238418579], [0.6703972816467285, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6394 - sparse_categorical_accuracy: 0.6588 - val_loss: 0.6800 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-4	109 483 778	1 538	109 482 240	0.0002 [11, [0.6645763516426086, 0.6117647290229797], [0.6584215760231018, 0.6000000238418579], [0.6780215501785278, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6451 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6858 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-4	109 483 778	1 538	109 482 240	0.0002 [11, [0.6652642488479614, 0.6117647290229797], [0.6686631441116333, 0.6000000238418579], [0.6730137467384338, 0.6000000238418579]]	6/6 [==============================] - 29s 5s/step - loss: 0.6460 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6864 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-4	109 483 778	1 538	109 482 240	0.0005 [11, [0.6588126420974731, 0.6117647290229797], [0.673507571220398, 0.6000000238418579], [0.6676012277603149, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6396 - sparse_categorical_accuracy: 0.6471 - val_loss: 0.6912 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-4	109 483 778	1 538	109 482 240	0.0005 [13, [0.6463955044746399, 0.6235294342041016], [0.6841932535171509, 0.6000000238418579], [0.6668819189071655, 0.6100000143051147]]	6/6 [==============================] - 31s 5s/step - loss: 0.6383 - sparse_categorical_accuracy: 0.6941 - val_loss: 0.6936 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-4	109 483 778	1 538	109 482 240	0.0005 [83, [0.5641902089118958, 0.7411764860153198], [0.5784568190574646, 0.800000011920929], [0.6464208364486694, 0.6399999856948853]]	6/6 [==============================] - 30s 5s/step - loss: 0.5664 - sparse_categorical_accuracy: 0.7529 - val_loss: 0.5836 - val_sparse_categorical_accuracy: 0.8000
Bert_Uncased	OnlyClassifier	5e-4	109 483 778	1 538	109 482 240	0.0005 [11, [0.652520477771759, 0.6117647290229797], [0.6791290640830994, 0.6000000238418579], [0.6783355474472046, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6568 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6805 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-4	109 483 778	1 538	109 482 240	0.0005 [11, [0.6549810767173767, 0.6117647290229797], [0.6600847244262695, 0.6000000238418579], [0.6789636015892029, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6387 - sparse_categorical_accuracy: 0.7176 - val_loss: 0.6884 - val_sparse_categorical_accuracy: 0.6667
Bert_Uncased	OnlyClassifier	1e-5	109 483 778	1 538	109 482 240	1e-05 [76, [0.64785236120224, 0.6352941393852234], [0.6985213160514832, 0.6000000238418579], [0.6660433411598206, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6665 - sparse_categorical_accuracy: 0.6000 - val_loss: 0.6990 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-5	109 483 778	1 538	109 482 240	1e-05 [12, [0.6842916011810303, 0.6117647290229797], [0.6483370065689087, 0.6000000238418579], [0.6798296570777893, 0.6000000238418579]]	6/6 [==============================] - 29s 5s/step - loss: 0.6779 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6525 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-5	109 483 778	1 538	109 482 240	1e-05 [31, [0.6608970761299133, 0.6117647290229797], [0.6710755825042725, 0.6000000238418579], [0.6717053055763245, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6623 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6717 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-5	109 483 778	1 538	109 482 240	1e-05 [29, [0.6656274199485779, 0.6117647290229797], [0.6665751338005066, 0.6000000238418579], [0.6770401000976562, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6703 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6683 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	1e-5	109 483 778	1 538	109 482 240	1e-05 [27, [0.6415325403213501, 0.6235294342041016], [0.655016303062439, 0.6666666865348816], [0.6703420281410217, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6561 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6561 - val_sparse_categorical_accuracy: 0.6667
Bert_Uncased	OnlyClassifier	2e-5	109 483 778	1 538	109 482 240	2e-05 [23, [0.6568595767021179, 0.6117647290229797], [0.6728571653366089, 0.6000000238418579], [0.6687665581703186, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6475 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6747 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-5	109 483 778	1 538	109 482 240	2e-05 [14, [0.6642290949821472, 0.6117647290229797], [0.6506097316741943, 0.6666666865348816], [0.6736553907394409, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6602 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6529 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-5	109 483 778	1 538	109 482 240	2e-05 [16, [0.6695181727409363, 0.6117647290229797], [0.6671245694160461, 0.6000000238418579], [0.6724598407745361, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6551 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6719 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-5	109 483 778	1 538	109 482 240	2e-05 [21, [0.6533371806144714, 0.6235294342041016], [0.6958140134811401, 0.6000000238418579], [0.6687894463539124, 0.6000000238418579]]	6/6 [==============================] - 31s 5s/step - loss: 0.6556 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6992 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	2e-5	109 483 778	1 538	109 482 240	2e-05 [18, [0.6602164506912231, 0.6117647290229797], [0.6652930974960327, 0.6000000238418579], [0.6663041114807129, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6717 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6675 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-5	109 483 778	1 538	109 482 240	5e-05 [15, [0.6588899493217468, 0.6117647290229797], [0.661970317363739, 0.6000000238418579], [0.6698283553123474, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6562 - sparse_categorical_accuracy: 0.6118 - val_loss: 0.6655 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-5	109 483 778	1 538	109 482 240	5e-05 [13, [0.6630829572677612, 0.6117647290229797], [0.6874616742134094, 0.6000000238418579], [0.6678220629692078, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6716 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6925 - val_sparse_categorical_accuracy: 0.6000
Bert_Uncased	OnlyClassifier	5e-5	109 483 778	1 538	109 482 240	5e-05 [15, [0.6512426137924194, 0.6117647290229797], [0.6889906525611877, 0.6000000238418579], [0.6720603704452515, 0.6000000238418579]]	6/6 [==============================] - 30s 5s/step - loss: 0.6496 - sparse_categorical_accuracy: 0.6235 - val_loss: 0.6902 - val_sparse_categorical_accuracy: 0.6000
